"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"43","FBgn0011674",111.519325414977,0.845324573878922,0.196597369502735,1.18228597380937e-06,3.72733566667249e-05
"44","FBgn0011710",2572.23238150938,0.378030354295031,0.0822942545900081,9.85284541086117e-07,3.21589146488618e-05
"45","FBgn0013272",14026.4073250624,-0.461549354353546,0.098713281413185,4.42516131601422e-07,1.52192634847878e-05
"46","FBgn0013576",2533.72180115197,-0.459874515713803,0.0908716499101659,6.45750375434132e-08,2.75619506396835e-06
"47","FBgn0013765",2713.53435824206,0.463865531214423,0.104078965091501,1.33606260324927e-06,4.19624492333724e-05
"48","FBgn0013811",352.215737290154,-0.805823352264413,0.176722301399209,3.33545651964164e-07,1.18636771850331e-05
"49","FBgn0015371",376.597146043775,-0.949886332631582,0.154559382081977,5.19599811535517e-11,3.66494002661873e-09
"50","FBgn0015541",1766.70855415515,0.507644650831648,0.0902780739282444,2.72000178908728e-09,1.47964541768454e-07
"51","FBgn0015568",210.36568254021,1.0191284326622,0.165211808245015,4.80893347449322e-11,3.45040976794889e-09
"52","FBgn0015576",177.174134694188,-0.842270601221166,0.20443041966223,2.51909589915316e-06,7.46136482870168e-05
"53","FBgn0015777",1046.00160294417,0.48678821117966,0.114895391232836,3.30678755979357e-06,9.69098340146545e-05
"54","FBgn0016715",150.876047301718,-1.9311727885757,0.206681212118571,3.53811793429305e-22,8.17993210197808e-20
"55","FBgn0020240",2424.82761269145,0.60414562421082,0.115086410845575,1.7106778132124e-08,7.90998413298157e-07
"56","FBgn0020248",35.6257697080042,2.02119734044183,0.3319676831383,6.49698593108018e-11,4.54406839532608e-09
"57","FBgn0020257",1080.02578479001,-0.649287124097547,0.110358327889661,3.75937690936791e-10,2.28389007420942e-08
"58","FBgn0022338",1046.79162112979,-0.439826552991007,0.101298040897993,2.27487497211557e-06,6.79024468487896e-05
"59","FBgn0023479",3091.86000673672,-1.50031613042116,0.140442586241268,6.02161164877513e-28,2.08824473969814e-25
"60","FBgn0023549",216.541760282419,-1.50872602284042,0.225818710382308,1.03789700988304e-12,9.28862022930809e-11
"61","FBgn0024288",58.8511039030606,-4.48934191654392,0.466134985691128,6.09672334798725e-23,1.49244201250876e-20
"62","FBgn0024315",92.0861494119137,-2.2390363477365,0.234829567207208,8.8499122476286e-23,2.10450913248608e-20
"63","FBgn0024491",519.842489317308,0.57706913380741,0.128674538681698,8.44844594573334e-07,2.81646850993746e-05
"64","FBgn0024984",120.722809158927,1.43204757178665,0.198245631367867,2.8046373689274e-14,3.24208289188649e-12
"65","FBgn0025111",1501.41051323996,2.89089698201455,0.12728652411355,1.53429587127994e-115,6.38497226833147e-112
"66","FBgn0025678",10270.1392986356,0.517426013402375,0.10398702847083,9.06678446421354e-08,3.66815140129889e-06
"67","FBgn0026376",1400.3091590007,-0.937974724688681,0.193042474269591,6.9879900506633e-08,2.93742632281165e-06
"68","FBgn0026562",43909.3483914385,-2.30075982699659,0.229538096342396,2.20390160614511e-25,7.33722922717829e-23
"69","FBgn0026585",2021.90872156419,0.504442537420605,0.101494871371074,9.592551467285e-08,3.83840412799101e-06
"70","FBgn0027091",1185.73017284578,-0.628365124630323,0.11038896538119,1.19095504743999e-09,6.8835547637799e-08
"71","FBgn0027279",2954.97371231197,-1.17723202337206,0.0941329518960432,3.76142741165669e-37,2.40818156517067e-34
"72","FBgn0027348",172.976365334677,-1.10164128127065,0.228075367868059,6.73014621138709e-08,2.85790851619259e-06
"73","FBgn0027515",446.29995365465,0.869130019519857,0.125650970329164,3.77613171523378e-13,3.69749932539892e-11
"74","FBgn0027578",1372.71794925755,-0.472252268427755,0.108653171994701,1.95724548746983e-06,5.98902727654831e-05
"75","FBgn0027580",1310.06341505753,-0.788569611144099,0.163304058436548,9.33720241686402e-08,3.75427708770818e-06
"76","FBgn0027596",753.529266674786,-0.774661982832191,0.166979042319378,2.34339799288265e-07,8.6684895532277e-06
"77","FBgn0027597",419.23880999328,0.610723925766142,0.121374457147871,5.1567960297963e-08,2.2471211181149e-06
"78","FBgn0027949",1448.17954774461,0.619260877303059,0.10231925352815,1.57414417308253e-10,1.01562805833844e-08
"79","FBgn0028327",3772.36086785868,0.577445354284251,0.105806901048262,5.7741835137046e-09,2.96657588793601e-07
